Kin,100,Cutlery,0,0.1,"[27.27, 33.33, 40.62, 39.39, 45.45, 37.5, 33.33, 30.3, 31.25]",35.38
Kin,100,Cutlery,0,0.25,"[27.27, 33.33, 40.62, 39.39, 45.45, 40.62, 33.33, 36.36, 34.38]",36.75
Kin,100,Cutlery,0,0.5,"[30.3, 33.33, 46.88, 42.42, 45.45, 40.62, 33.33, 36.36, 34.38]",38.12
Kin,100,Cutlery,0,0.75,"[30.3, 30.3, 46.88, 42.42, 45.45, 40.62, 33.33, 36.36, 34.38]",37.78
Kin,100,Cutlery,0,1,"[30.3, 30.3, 46.88, 42.42, 45.45, 40.62, 30.3, 36.36, 34.38]",37.45
Kin,100,Cutlery,0,1.25,"[30.3, 30.3, 46.88, 42.42, 45.45, 40.62, 30.3, 36.36, 34.38]",37.45
Kin,100,Cutlery,0,1.5,"[30.3, 30.3, 46.88, 42.42, 45.45, 40.62, 30.3, 36.36, 34.38]",37.45
Kin,100,Cutlery,0.25,0.01,"[33.33, 33.33, 31.25, 33.33, 33.33, 34.38, 33.33, 33.33, 34.38]",33.33
Kin,100,Cutlery,0.25,0.1,"[24.24, 39.39, 34.38, 42.42, 45.45, 46.88, 45.45, 45.45, 28.12]",39.09
Kin,100,Cutlery,0.25,0.25,"[27.27, 42.42, 37.5, 45.45, 45.45, 46.88, 42.42, 45.45, 34.38]",40.8
Kin,100,Cutlery,0.25,0.5,"[27.27, 42.42, 43.75, 39.39, 42.42, 37.5, 39.39, 45.45, 34.38]",39.11
Kin,100,Cutlery,0.25,0.75,"[30.3, 42.42, 43.75, 39.39, 45.45, 40.62, 39.39, 42.42, 34.38]",39.79
Kin,100,Cutlery,0.25,1,"[30.3, 39.39, 46.88, 39.39, 45.45, 37.5, 39.39, 42.42, 34.38]",39.46
Kin,100,Cutlery,0.25,1.25,"[30.3, 39.39, 46.88, 42.42, 45.45, 37.5, 36.36, 42.42, 34.38]",39.46
Kin,100,Cutlery,0.25,1.5,"[30.3, 39.39, 50.0, 42.42, 45.45, 37.5, 33.33, 42.42, 34.38]",39.47
Kin,100,Cutlery,0.5,0.01,"[33.33, 33.33, 31.25, 33.33, 33.33, 34.38, 33.33, 33.33, 34.38]",33.33
Kin,100,Cutlery,0.5,0.1,"[24.24, 36.36, 34.38, 30.3, 36.36, 46.88, 48.48, 36.36, 31.25]",36.07
Kin,100,Cutlery,0.5,0.25,"[27.27, 42.42, 37.5, 48.48, 39.39, 46.88, 39.39, 48.48, 37.5]",40.81
Kin,100,Cutlery,0.5,0.5,"[27.27, 45.45, 40.62, 48.48, 42.42, 43.75, 42.42, 45.45, 37.5]",41.48
Kin,100,Cutlery,0.5,0.75,"[33.33, 42.42, 46.88, 48.48, 45.45, 37.5, 42.42, 45.45, 34.38]",41.81
Kin,100,Cutlery,0.5,1,"[33.33, 42.42, 46.88, 45.45, 45.45, 37.5, 42.42, 45.45, 34.38]",41.48
Kin,100,Cutlery,0.5,1.25,"[33.33, 42.42, 46.88, 42.42, 45.45, 37.5, 39.39, 45.45, 34.38]",40.8
Kin,100,Cutlery,0.5,1.5,"[33.33, 42.42, 46.88, 42.42, 45.45, 31.25, 39.39, 45.45, 34.38]",40.11
Kin,100,Cutlery,0.75,0.01,"[33.33, 33.33, 34.38, 33.33, 33.33, 34.38, 33.33, 33.33, 34.38]",33.68
