,0
10,0.19455151076698946
43,0.07646030617022494
30,0.0425943875398394
53,0.03089056811701455
47,0.029806103725219153
31,0.029567849435815002
50,0.0258685962115018
40,0.025038817616519726
38,0.022218625225521045
35,0.022034562919146645
49,0.020968302740761356
45,0.020735026419749236
48,0.01955141869522411
46,0.01904397861227173
18,0.0188855344089254
51,0.018739554808909965
52,0.018172858690144063
57,0.017891556703845183
36,0.017716786684621184
55,0.017681902780063652
56,0.016944720251046243
37,0.015774276654344815
19,0.014371209730495568
11,0.012330463326180225
32,0.011950983010631416
26,0.011829835243037008
24,0.011809974188350529
29,0.011245979819615172
44,0.010089441226919566
28,0.009757979844820968
20,0.00792877334175522
54,0.007844685675498921
13,0.007418420722803975
14,0.007402391782346529
25,0.006900640078885995
41,0.00405570834102709
9,0.00401217661693874
22,0.003976389330781245
6,0.0039157345046714
42,0.0038265838006056206
34,0.0031101253183501375
33,0.003015944213725175
27,0.002828142370612115
39,0.00274190995573125
21,0.0017110398680588602
12,0.0016457780166462667
7,0.000836913173579525
23,0.000342380833332575
8,0.00015503260575527666
15,0.00013639120968647142
1,3.001175964328182e-05
16,2.735029086545714e-05
3,1.3844210679223767e-33
17,1.3792467488281419e-33
0,1.3271806133400267e-33
2,1.3111130192539002e-33
4,1.2250297661333061e-33
5,1.2069813521365393e-33
