,0
0,0.1943641874784426
1,0.09411900909947364
2,0.08760877005427481
3,0.06612771437539028
4,0.04698929178346314
5,0.0453413102039067
6,0.0439325350069764
7,0.03789302869613471
8,0.035591812632447935
9,0.031953462685417
10,0.03047964944656923
11,0.027747501581406698
12,0.025993672556283445
13,0.024535556692938606
14,0.02269379420891386
15,0.02084194010079003
16,0.018613179528385784
17,0.01667101355886791
18,0.01621951825945128
19,0.013587308844414083
20,0.012693019252688717
21,0.010752535718925591
22,0.010252015791688555
23,0.008777272468270087
24,0.007657176197189835
25,0.0075015078050475505
26,0.006126255366049983
27,0.005949803931016516
28,0.005157359562141181
29,0.004698869139553422
30,0.0039638794585987345
31,0.00309505299139326
32,0.002642785239741558
33,0.00257423813852337
34,0.001732094854034364
35,0.001463225107997274
36,0.0012657373979454002
37,0.0009651156762758107
38,0.0007329365925233061
39,0.0005034104803891317
40,0.0001914520360582664
41,3.8331711176270917e-32
42,1.3765827314036021e-33
43,1.3765827314036021e-33
44,1.3765827314036021e-33
45,1.3765827314036021e-33
46,1.3765827314036021e-33
47,1.3765827314036021e-33
48,1.3765827314036021e-33
49,1.3765827314036021e-33
50,1.3765827314036021e-33
51,1.3765827314036021e-33
52,1.3765827314036021e-33
53,1.3765827314036021e-33
54,1.3765827314036021e-33
55,1.3765827314036021e-33
56,1.3765827314036021e-33
57,1.3762546618439946e-33
