,0
0,0.19900987404126483
1,0.10695492674423632
2,0.07625799726482375
3,0.06443796794842366
4,0.056916659478677835
5,0.052095395522998925
6,0.05023777593804512
7,0.044748110583678814
8,0.04114720507150338
9,0.03297051688788265
10,0.027965501230638658
11,0.027561066786947738
12,0.026157918978558646
13,0.022765159822802035
14,0.02182855491806389
15,0.01913787524235988
16,0.01733651586653753
17,0.015167730355642138
18,0.013893585059373768
19,0.010671057631408165
20,0.009658253009686747
21,0.008521240611825753
22,0.00790983177801455
23,0.0069144452231443354
24,0.006298559099677194
25,0.005333714623656487
26,0.004842918986712748
27,0.004451846015008974
28,0.003887598656492105
29,0.0030474321949645906
30,0.0029679979674952853
31,0.0024511194962462657
32,0.0023302407075164746
33,0.0019040024302795027
34,0.0013422123023869915
35,0.0007001980196569144
36,0.00010765449399533129
37,3.779958390283885e-05
38,3.1539425469305665e-05
39,3.9248278406556786e-32
40,2.610573607405041e-33
41,9.006622557528447e-34
42,9.006622557528447e-34
43,9.006622557528447e-34
44,9.006622557528447e-34
45,9.006622557528447e-34
46,9.006622557528447e-34
47,9.006622557528447e-34
48,9.006622557528447e-34
49,9.006622557528447e-34
50,9.006622557528447e-34
51,9.006622557528447e-34
52,9.006622557528447e-34
53,9.006622557528447e-34
54,9.006622557528447e-34
55,9.006622557528447e-34
56,9.006622557528447e-34
57,9.00526925830299e-34
