,0
0,0.6787730039474782
1,0.11120454581787942
2,0.04611905046307167
3,0.02778762173732086
4,0.024209604679297374
5,0.01804944408643508
6,0.015094319953024111
7,0.01058080693152324
8,0.009216600590901654
9,0.007135672341240312
10,0.005499925726897184
11,0.005066108202572644
12,0.004258388589475352
13,0.004171082808169016
14,0.003092079541527087
15,0.002892011792764395
16,0.0025865063289218742
17,0.0023033772930621805
18,0.0020136841921260663
19,0.0019125035314079327
20,0.0015125132240088577
21,0.0014779229400131684
22,0.001263877243836173
23,0.0011023861834251855
24,0.0009588269217136781
25,0.0009213039857024682
26,0.0009077348947677021
27,0.0007641907052768866
28,0.0007454330022199226
29,0.0007174157267726601
30,0.000635193192266637
31,0.0005487032535174462
32,0.0005068166016186114
33,0.00047872551908525416
34,0.00044403668818180384
35,0.00040187334279252117
36,0.00039741506045284377
37,0.0003558949385909077
38,0.00031083334618426024
39,0.0002853851167346361
40,0.0002731631548994303
41,0.00026314263023953315
42,0.0002370546742851196
43,0.00021962130133179307
44,0.0001987423502480595
45,0.00019018980521640604
46,0.00018352622716209547
47,0.0001766017196254728
48,0.00017219542142824187
49,0.00016370399683420675
50,0.0001498362446218717
51,0.0001371716549822944
52,0.00012418322421860108
53,0.00011877021696826405
54,0.00010868108088478062
55,9.934973825080249e-05
56,8.264788011703011e-05
57,7.758392648153482e-05
58,7.498151078082824e-05
59,6.235985532234109e-05
60,5.7380435726733885e-05
61,5.472968846402128e-05
62,3.626344167657778e-05
63,3.529937797674446e-05
