,0
0,0.2939966928498883
1,0.10778874734759394
2,0.06675457934790142
3,0.057675208684406704
4,0.050898068357811944
5,0.03899343545086686
6,0.03203850338952878
7,0.029863660211874248
8,0.029041299288243137
9,0.027535021739904436
10,0.026209839486662317
11,0.02519343611834179
12,0.023462953465092713
13,0.02184771811835955
14,0.019742094302454962
15,0.017415328356817535
16,0.016260424520945813
17,0.015681336417810002
18,0.013100711938614232
19,0.011659280122518927
20,0.010914137762170168
21,0.009034931997383401
22,0.007860615977911057
23,0.006488470752155837
24,0.005524718302696318
25,0.005261047691480679
26,0.0043711124475839976
27,0.004129456920076321
28,0.0037538613264182464
29,0.0032990641596999863
30,0.002942512484625053
31,0.0024843535785681456
32,0.0021578574898190573
33,0.0017933842901955617
34,0.0014992056922636093
35,0.0011130606968251155
36,0.000995103990367848
37,0.0007123336828979605
38,0.00035649559875362786
39,0.00014993564247051046
40,5.798074664280761e-32
41,2.275587288070914e-33
42,2.275587288070914e-33
43,2.275587288070914e-33
44,2.275587288070914e-33
45,2.275587288070914e-33
46,2.275587288070914e-33
47,2.275587288070914e-33
48,2.275587288070914e-33
49,2.275587288070914e-33
50,2.275587288070914e-33
51,2.275587288070914e-33
52,2.275587288070914e-33
53,2.275587288070914e-33
54,2.275587288070914e-33
55,2.275587288070914e-33
56,2.275587288070914e-33
57,2.274852103594087e-33
