,0
0,0.11023214188486385
1,0.08392846252358967
2,0.07002525927150656
3,0.056192954558697224
4,0.050862422497203075
5,0.046300462643715644
6,0.039995321315304436
7,0.03679658492431826
8,0.030938049954557973
9,0.02803035068203815
10,0.026859127500664146
11,0.026082154942133846
12,0.024127553709801443
13,0.02264011215461358
14,0.022378859911964633
15,0.02173485052182466
16,0.02109875522467283
17,0.02099194727187642
18,0.020567994088475827
19,0.02008268832181846
20,0.01889051979209268
21,0.017991015588983746
22,0.01744267715454052
23,0.01639370101195198
24,0.015259962827476858
25,0.013691139519037028
26,0.012611369866888539
27,0.011546654825744226
28,0.01081939179828459
29,0.009609877279554622
30,0.009160087225765449
31,0.00825586184068395
32,0.007932047984657789
33,0.00730098497272875
34,0.006748809586881455
35,0.006046861047020114
36,0.005263295342589952
37,0.004032384117028294
38,0.003753015774455932
39,0.0031148090820831476
40,0.0029077373083789197
41,0.002301288164527438
42,0.0020943466942963717
43,0.0020512056158470356
44,0.0018283252089104501
45,0.0015640651827588373
46,0.0008648005892020384
47,0.0006577106939885498
48,6.2158396515627555e-34
49,6.215839651562754e-34
50,6.215839651562754e-34
51,6.215839651562754e-34
52,6.215839651562754e-34
53,6.215839651562754e-34
54,6.215839651562754e-34
55,6.215839651562754e-34
56,6.215839651562754e-34
57,6.215839651562754e-34
